feature,count,pct
feat_0,68,0.95
feat_1,85,0.91
feat_2,60,0.8999999999999999
feat_3,68,0.8999999999999999
feat_4,79,0.89
feat_5,65,0.89
feat_6,62,0.8699999999999999
feat_7,61,0.86
feat_8,73,0.86
feat_9,82,0.86
feat_10,64,0.86
feat_11,74,0.8500000000000001
feat_12,80,0.8500000000000001
feat_13,64,0.8500000000000001
feat_14,0,0.84
feat_15,86,0.84
feat_16,80,0.83
feat_17,71,0.83
feat_18,64,0.8200000000000001
feat_19,52,0.8200000000000001
feat_20,75,0.8200000000000001
feat_21,66,0.8200000000000001
feat_22,67,0.8200000000000001
feat_23,78,0.8099999999999999
feat_24,64,0.8
feat_25,76,0.8
feat_26,64,0.8
feat_27,72,0.8
feat_28,63,0.8
feat_29,65,0.8
feat_30,69,0.8
feat_31,0,0.8
feat_32,0,0.8
feat_33,70,0.79
feat_34,0,0.79
feat_35,0,0.79
feat_36,72,0.79
feat_37,0,0.7799999999999999
feat_38,62,0.7799999999999999
feat_39,86,0.7799999999999999
feat_40,76,0.77
feat_41,75,0.77
feat_42,73,0.77
feat_43,75,0.77
feat_44,67,0.76
feat_45,67,0.76
feat_46,75,0.76
feat_47,68,0.76
feat_48,60,0.76
feat_49,62,0.76
feat_50,0,0.75
feat_51,74,0.75
feat_52,0,0.75
feat_53,76,0.75
feat_54,0,0.75
feat_55,73,0.75
feat_56,62,0.75
feat_57,65,0.75
feat_58,65,0.75
feat_59,71,0.75
feat_60,0,0.75
feat_61,75,0.75
feat_62,70,0.75
feat_63,89,0.74
feat_64,52,0.74
feat_65,75,0.74
feat_66,0,0.74
feat_67,51,0.74
feat_68,0,0.74
feat_69,57,0.74
feat_70,55,0.74
feat_71,70,0.74
feat_72,63,0.73
feat_73,0,0.73
feat_74,55,0.73
feat_75,69,0.73
feat_76,73,0.73
feat_77,66,0.73
feat_78,49,0.73
feat_79,82,0.73
feat_80,70,0.73
feat_81,0,0.73
feat_82,0,0.73
feat_83,71,0.73
feat_84,67,0.72
feat_85,83,0.72
feat_86,74,0.72
feat_87,65,0.72
feat_88,80,0.72
feat_89,0,0.72
feat_90,66,0.72
feat_91,71,0.72
feat_92,85,0.7100000000000001
feat_93,64,0.7100000000000001
feat_94,83,0.7100000000000001
feat_95,71,0.7100000000000001
feat_96,66,0.7100000000000001
feat_97,75,0.7100000000000001
feat_98,71,0.7100000000000001
feat_99,64,0.7100000000000001
feat_100,52,0.7100000000000001
feat_101,82,0.7100000000000001
feat_102,52,0.7100000000000001
feat_103,79,0.7100000000000001
feat_104,62,0.7100000000000001
feat_105,0,0.7000000000000001
feat_106,80,0.7000000000000001
feat_107,70,0.7000000000000001
feat_108,0,0.7000000000000001
feat_109,63,0.7000000000000001
feat_110,66,0.7000000000000001
feat_111,65,0.7000000000000001
feat_112,0,0.7000000000000001
feat_113,72,0.7000000000000001
feat_114,49,0.7000000000000001
feat_115,56,0.69
feat_116,74,0.69
feat_117,69,0.69
feat_118,58,0.69
feat_119,71,0.69
feat_120,90,0.6799999999999999
feat_121,0,0.6799999999999999
feat_122,57,0.6799999999999999
feat_123,67,0.6799999999999999
feat_124,71,0.6799999999999999
feat_125,0,0.6799999999999999
feat_126,75,0.6799999999999999
feat_127,71,0.6799999999999999
feat_128,64,0.67
feat_129,73,0.67
feat_130,73,0.67
feat_131,50,0.67
feat_132,73,0.67
feat_133,63,0.67
feat_134,72,0.67
feat_135,82,0.67
feat_136,0,0.67
feat_137,73,0.66
feat_138,64,0.66
feat_139,0,0.66
feat_140,0,0.66
feat_141,68,0.66
feat_142,64,0.66
feat_143,57,0.66
feat_144,74,0.66
feat_145,0,0.66
feat_146,69,0.65
feat_147,67,0.65
feat_148,72,0.65
feat_149,76,0.65
feat_150,70,0.65
feat_151,0,0.65
feat_152,64,0.65
feat_153,57,0.65
feat_154,77,0.65
feat_155,91,0.65
feat_156,61,0.64
feat_157,0,0.64
feat_158,79,0.64
feat_159,70,0.64
feat_160,80,0.64
feat_161,89,0.64
feat_162,71,0.64
feat_163,79,0.64
feat_164,63,0.64
feat_165,0,0.64
feat_166,59,0.64
feat_167,61,0.64
feat_168,80,0.63
feat_169,57,0.63
feat_170,53,0.63
feat_171,0,0.63
feat_172,81,0.63
feat_173,56,0.63
feat_174,57,0.63
feat_175,61,0.62
feat_176,76,0.62
feat_177,86,0.62
feat_178,61,0.62
feat_179,67,0.62
feat_180,74,0.62
feat_181,95,0.62
feat_182,64,0.62
feat_183,75,0.61
feat_184,0,0.61
feat_185,74,0.61
feat_186,53,0.61
feat_187,73,0.61
feat_188,75,0.61
feat_189,58,0.61
feat_190,77,0.6
feat_191,84,0.6
feat_192,65,0.6
feat_193,0,0.6
feat_194,72,0.59
feat_195,72,0.59
feat_196,71,0.59
feat_197,0,0.59
feat_198,77,0.59
feat_199,0,0.58
feat_200,77,0.58
feat_201,74,0.58
feat_202,90,0.5700000000000001
feat_203,68,0.5700000000000001
feat_204,78,0.5700000000000001
feat_205,75,0.5700000000000001
feat_206,0,0.5700000000000001
feat_207,60,0.5700000000000001
feat_208,84,0.5700000000000001
feat_209,65,0.5700000000000001
feat_210,0,0.5700000000000001
feat_211,65,0.5700000000000001
feat_212,66,0.5599999999999999
feat_213,59,0.5599999999999999
feat_214,59,0.5599999999999999
feat_215,72,0.5499999999999999
feat_216,80,0.5499999999999999
feat_217,75,0.5499999999999999
feat_218,61,0.5499999999999999
feat_219,57,0.53
feat_220,71,0.53
feat_221,63,0.52
feat_222,70,0.52
feat_223,70,0.52
feat_224,69,0.52
feat_225,80,0.51
feat_226,68,0.5
feat_227,67,0.49
feat_228,86,0.49
feat_229,76,0.48
feat_230,73,0.0
feat_231,68,0.0
feat_232,48,0.0
feat_233,59,0.0
feat_234,58,0.0
feat_235,62,0.0
feat_236,57,0.0
feat_237,57,0.0
feat_238,66,0.0
feat_239,0,0.0
feat_240,73,0.0
feat_241,78,0.0
feat_242,85,0.0
feat_243,61,0.0
feat_244,55,0.0
feat_245,55,0.0
feat_246,68,0.0
feat_247,74,0.0
feat_248,0,0.0
feat_249,60,0.0
feat_250,0,0.0
feat_251,59,0.0
feat_252,65,0.0
feat_253,70,0.0
feat_254,0,0.0
feat_255,63,0.0
feat_256,73,0.0
feat_257,57,0.0
feat_258,66,0.0
feat_259,0,0.0
feat_260,0,0.0
feat_261,62,0.0
feat_262,75,0.0
feat_263,0,0.0
feat_264,62,0.0
feat_265,71,0.0
feat_266,0,0.0
feat_267,82,0.0
feat_268,87,0.0
feat_269,80,0.0
feat_270,66,0.0
feat_271,67,0.0
feat_272,56,0.0
