i,val_rmse,val_r2,train_rmse,gap,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
425,0.1141585738311903,0.7690740380411011,0.0716330335878668,0.0425255402433235,0.0,0.03,255,,800,15,20
2460,0.11481962191056558,0.7663918892341999,0.07085627448543556,0.043963347425130014,1.0,0.1,128,,200,15,50
2478,0.11481962191056558,0.7663918892341999,0.07085627448543556,0.043963347425130014,1.0,0.1,128,,800,15,50
2469,0.11481962191056558,0.7663918892341999,0.07085627448543556,0.043963347425130014,1.0,0.1,128,,400,15,50
1648,0.11536938934757783,0.7641494571809254,0.0734156444438484,0.041953744903729426,0.1,0.1,255,5.0,200,15,10
1666,0.11536938934757783,0.7641494571809254,0.0734156444438484,0.041953744903729426,0.1,0.1,255,5.0,800,15,10
1657,0.11536938934757783,0.7641494571809254,0.0734156444438484,0.041953744903729426,0.1,0.1,255,5.0,400,15,10
2127,0.1156903143455033,0.7628354932266845,0.07685984270966452,0.038830471635838776,1.0,0.03,255,7.0,800,15,50
2440,0.11631020368579201,0.7602871447537348,0.07216476315987844,0.04414544052591357,1.0,0.1,128,7.0,400,15,10
2431,0.11631020368579201,0.7602871447537348,0.07216476315987844,0.04414544052591357,1.0,0.1,128,7.0,200,15,10
2449,0.11631020368579201,0.7602871447537348,0.07216476315987844,0.04414544052591357,1.0,0.1,128,7.0,800,15,10
2037,0.11668892290925414,0.7587235387278266,0.08165817558136698,0.03503074732788716,1.0,0.03,128,,400,15,50
2046,0.1167131352680594,0.7586234010594801,0.08083997368999384,0.03587316157806557,1.0,0.03,128,,800,15,50
721,0.11683783404655552,0.7581073418108624,0.0627348450473107,0.05410298899924483,0.0,0.1,128,7.0,800,15,10
712,0.11683783404655552,0.7581073418108624,0.0627348450473107,0.05410298899924483,0.0,0.1,128,7.0,400,15,10
703,0.11712806906703978,0.756904085697127,0.06668140888257679,0.05044666018446299,0.0,0.1,128,7.0,200,15,10
2118,0.11771525516462268,0.7544606007042387,0.08162840534229526,0.03608684982232742,1.0,0.03,255,7.0,400,15,50
858,0.11835306111825548,0.751792624426788,0.07624030227195573,0.04211275884629975,0.0,0.1,255,,800,15,50
840,0.11835306111825548,0.751792624426788,0.07624030227195573,0.04211275884629975,0.0,0.1,255,,200,15,50
849,0.11835306111825548,0.751792624426788,0.07624030227195573,0.04211275884629975,0.0,0.1,255,,400,15,50
2045,0.11839977483790698,0.7515966518368276,0.0784392666984164,0.03996050813949058,1.0,0.03,128,,800,15,20
318,0.11877355407520067,0.750025794607339,0.07754322464561016,0.04123032942959051,0.0,0.03,128,,800,15,50
416,0.11910564199599225,0.7486259970430675,0.08074174791740497,0.03836389407858727,0.0,0.03,255,,400,15,20
398,0.11925671730436824,0.7479878998163265,0.07867571051562226,0.040581006788745974,0.0,0.03,255,7.0,800,15,20
2369,0.11938377650738495,0.747450613279568,0.07072584005888237,0.04865793644850258,1.0,0.05,255,,800,15,20
2360,0.11938377650738495,0.747450613279568,0.07072584005888237,0.04865793644850258,1.0,0.05,255,,400,15,20
704,0.11970842011164771,0.7460752166818512,0.07027301640505575,0.04943540370659197,0.0,0.1,128,7.0,200,15,20
848,0.11974203314111576,0.7459325971482078,0.06744670102599419,0.052295332115121565,0.0,0.1,255,,400,15,20
857,0.11974203314111576,0.7459325971482078,0.06744670102599419,0.052295332115121565,0.0,0.1,255,,800,15,20
839,0.11976815826250911,0.745821721031418,0.06878410985734226,0.05098404840516685,0.0,0.1,255,,200,15,20
713,0.11978115126263157,0.7457665691848011,0.07004442883080621,0.049736722431825364,0.0,0.1,128,7.0,400,15,20
722,0.11978115126263157,0.7457665691848011,0.07004442883080621,0.049736722431825364,0.0,0.1,128,7.0,800,15,20
2154,0.11989736684510127,0.7452729987169028,0.08150226682076274,0.03839510002433853,1.0,0.03,255,,800,15,50
2145,0.11996316903313359,0.7449933229569827,0.08232118140652413,0.03764198762660946,1.0,0.03,255,,400,15,50
389,0.12007486286942815,0.7445182449156347,0.08290164856255784,0.0371732143068703,0.0,0.03,255,7.0,400,15,20
633,0.12041865913301339,0.7430531686684652,0.08031972805262472,0.04009893108038867,0.0,0.05,255,,400,15,50
642,0.12041865913301339,0.7430531686684652,0.08031972805262472,0.04009893108038867,0.0,0.05,255,,800,15,50
2036,0.12071274422826664,0.7417966108397636,0.08361193778818225,0.037100806440084386,1.0,0.03,128,,400,15,20
309,0.12085447630445517,0.7411899278145798,0.08454034379282029,0.036314132511634886,0.0,0.03,128,,400,15,50
1263,0.12094663407541222,0.7407950652653512,0.08141094259637274,0.03953569147903947,0.1,0.03,255,7.0,800,15,50
2568,0.12133154181371342,0.7391426217243322,0.07079891863993805,0.05053262317377537,1.0,0.1,255,,200,15,50
2577,0.1213461643907393,0.7390797421647216,0.0706896577525582,0.050656506638181095,1.0,0.1,255,,400,15,50
2586,0.1213461643907393,0.7390797421647216,0.0706896577525582,0.050656506638181095,1.0,0.1,255,,800,15,50
1506,0.1215200948366667,0.7383312306489058,0.07683877754809756,0.04468131728856914,0.1,0.05,255,,800,15,50
1497,0.1215200948366667,0.7383312306489058,0.07683877754809756,0.04468131728856914,0.1,0.05,255,,400,15,50
1567,0.1218924586786193,0.7367251543720217,0.08323263801831643,0.038659820660302865,0.1,0.1,128,7.0,200,15,10
1576,0.1218924586786193,0.7367251543720217,0.08323263801831643,0.038659820660302865,0.1,0.1,128,7.0,400,15,10
1585,0.1218924586786193,0.7367251543720217,0.08323263801831643,0.038659820660302865,0.1,0.1,128,7.0,800,15,10
1254,0.12210742051167081,0.7357957458283775,0.08347008122440382,0.038637339287266995,0.1,0.03,255,7.0,400,15,50
1144,0.12223732553776104,0.735233294881868,0.08391851049646162,0.038318815041299414,0.1,0.03,128,7.0,400,15,10
1153,0.12225291335664572,0.7351657639771133,0.08372332271527677,0.038529590641368947,0.1,0.03,128,7.0,800,15,10
2539,0.12226981673223576,0.7350925239713398,0.07972157259582716,0.042548244136408606,1.0,0.1,255,7.0,200,15,10
2557,0.12226981673223576,0.7350925239713398,0.07972157259582716,0.042548244136408606,1.0,0.1,255,7.0,800,15,10
2548,0.12226981673223576,0.7350925239713398,0.07972157259582716,0.042548244136408606,1.0,0.1,255,7.0,400,15,10
506,0.12235075676837712,0.7347416815769188,0.078253869787598,0.04409688698077911,0.0,0.05,128,7.0,800,15,20
497,0.12235075676837712,0.7347416815769188,0.078253869787598,0.04409688698077911,0.0,0.05,128,7.0,400,15,20
631,0.12246606946117396,0.7342414465826939,0.07667990573133245,0.04578616372984151,0.0,0.05,255,,400,15,10
640,0.12246606946117396,0.7342414465826939,0.07667990573133245,0.04578616372984151,0.0,0.05,255,,800,15,10
1184,0.12255112833662557,0.7338721528837073,0.04714866510911002,0.07540246322751555,0.1,0.03,128,,800,31,20
2224,0.12325721700116088,0.7307966824581278,0.07821989385793458,0.045037323143226296,1.0,0.05,128,7.0,400,15,10
2233,0.12325721700116088,0.7307966824581278,0.07821989385793458,0.045037323143226296,1.0,0.05,128,7.0,800,15,10
804,0.12417583653321536,0.7267690569531581,0.0791369497122077,0.045038886821007665,0.0,0.1,255,5.0,800,15,50
795,0.12417583653321536,0.7267690569531581,0.0791369497122077,0.045038886821007665,0.0,0.1,255,5.0,400,15,50
786,0.12417583653321536,0.7267690569531581,0.0791369497122077,0.045038886821007665,0.0,0.1,255,5.0,200,15,50
2262,0.12421136703097355,0.7266126751551764,0.0835330450625476,0.04067832196842594,1.0,0.05,128,,800,15,50
